page_start,date_of_occurrence,time_of_occurrence,reason_for_force,service_rendered,citizen_injured,citizen_influence_assessment,officer_injured,citizen_race,citizen_gender,notes,officer_involved,name_badge_number,badge_number,force_used_1,force_used_1_effective,force_used_2,force_used_2_effective,force_used_3,force_used_3_effective,force_used_4,force_used_4_effective,force_used_5,force_used_5_effective,force_used_6,force_used_6_effective,force_used_7,force_used_7_effective,force_used_8,force_used_8_effective,officer_name,id
2407,2018-07-16T00:00:00Z,16:55:00,attempting escape,other,yes,excited,no,other,male,NA,incident_officer_1,zachary higdon - 5117,5117,take down,no,de-escalation techniques,yes,empty hand strikes,no,empty hand control,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,zachary higdon,2407-2018-m
3950,2017-10-31T00:00:00Z,13:43:00,non-compliance,call for service,no,excited,no,white,male,NA,incident_officer_1,john chenault - 7191,7191,empty hand control,no,take down,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,john chenault,3950-2017-m
2266,2018-07-03T00:00:00Z,21:10:00,effect an arrest,call for service,yes,alcohol impaired,no,white,male,NA,incident_officer_3,rex kelley - 7401,7401,verbal directions,no,empty hand control,yes,de-escalation techniques,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rex kelley,2266-2018-m
1860,2018-06-01T00:00:00Z,13:30:00,resisting arrest,mental inquest interview,yes,emotionally disturbed,yes,white,male,NA,incident_officer_1,dearis hoard - 7132,7132,hobble,yes,empty hand control,yes,take down,yes,ecw stun feature,no,verbal directions,no,NA,NA,NA,NA,NA,NA,dearis hoard,1860-2018-m
2079,2019-08-09T00:00:00Z,11:21:00,failure to comply,call for service,yes,other,no,black,male,NA,incident_officer_1,sarah stumler - 7805,7805,empty hand control,yes,take down,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sarah stumler,2079-2019-m
1347,2018-04-22T00:00:00Z,12:25:00,combative subject,effecting an arrest,yes,alcohol impaired,no,white,male,NA,incident_officer_1,anthony garcia - 7357,7357,verbal directions,no,take down,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anthony garcia,1347-2018-m
3124,2019-12-13T00:00:00Z,16:37:00,assaulting officer,call for service,yes,excited,yes,black,female,NA,incident_officer_1,cameron duncan - 7433,7433,hobble,yes,empty hand control,no,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cameron duncan,3124-2019-m
4050,2018-12-17T00:00:00Z,02:54:00,effect an arrest,call for service,yes,alcohol impaired,no,white,male,NA,incident_officer_3,kyle jordan - 7049,7049,empty hand control,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kyle jordan,4050-2018-m
2420,2019-09-16T00:00:00Z,10:05:00,resisting arrest,call for service,yes,excited,yes,white,male,NA,incident_officer_1,joseph berg - 7817,7817,de-escalation techniques,no,verbal directions,no,empty hand control,yes,take down,yes,NA,NA,NA,NA,NA,NA,NA,NA,joseph berg,2420-2019-m
378,2019-02-06T00:00:00Z,12:06:00,failure to comply,call for service,yes,emotionally disturbed,yes,white,male,NA,incident_officer_1,kenneth christian jr - 6100,6100,take down,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kenneth christian jr,378-2019-m
3894,2018-12-09T00:00:00Z,13:00:00,non-compliance,call for service,yes,emotionally disturbed,yes,black,male,NA,incident_officer_2,jeromy lynton - 7900,7900,ecw cartridge deployed,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jeromy lynton,3894-2018-m
2924,2018-09-06T00:00:00Z,02:56:00,failure to comply,effecting an arrest,yes,excited,yes,black,male,Incident officer #2 did not use force against citizen,incident_officer_3,brenton woodford - 7422,7422,empty hand control,no,empty hand strikes,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brenton woodford,2924-2018-m
1516,2019-05-29T00:00:00Z,22:53:00,failure to comply,call for service,yes,drug impaired,yes,white,male,NA,incident_officer_2,logan wolff - 5005,5005,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,logan wolff,1516-2019-m
